experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,31,1945749554,64.634895,1.209283,17.107441,2217.116699,nan,10342400,1363.52,13,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,33,2001963380,64.639786,1.207698,13.315611,1350.614624,nan,10342400,1157.64,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,27,737008293,67.032913,1.395732,17.620893,2536.952148,nan,10342400,1667.49,16,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,32,1644185952,64.469772,1.031988,12.824363,1266.513306,nan,10342400,1264.50,12,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,34,1642465823,63.645363,1.070126,11.396046,962.101257,nan,10342400,1255.00,12,True,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,17,1951868420,65.043571,1.097901,15.453401,2113.338135,nan,10342400,3400.16,32,True,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,33,1061951590,65.011391,1.005428,13.844016,1741.259277,nan,10342400,1259.26,12,False,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,28,1991110077,67.258224,1.638046,17.476561,2523.514893,nan,10342400,1378.95,13,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,35,873008805,64.620483,1.182844,13.849347,1726.525024,nan,10342400,1146.33,11,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,34,1580080239,65.393417,1.028567,14.887094,2158.944580,nan,10342400,1275.16,12,False,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,29,1012892841,66.903687,1.275315,18.912752,2847.456543,nan,10342400,1257.34,12,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,36,1115826455,63.919735,1.055070,12.731009,1419.569702,nan,10342400,1141.00,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,30,1554669401,66.596687,1.254082,16.583437,2528.987549,nan,10342400,1171.81,11,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,37,234422172,63.016857,1.180310,11.932104,1210.962280,nan,10342400,1242.28,12,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,35,1182847527,64.291176,1.030735,13.216941,1568.649292,nan,10342400,1455.77,14,False,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,18,681290121,61.762207,0.991924,12.796556,1215.596069,nan,10342400,3540.85,33,True,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,38,680866530,62.492023,1.143442,11.790796,1218.136963,nan,10342400,1154.97,11,True,False,ReLU
