experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,forecast_multiplier,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,32,4,30,1,True,0,42,9.946069,1.138596,,,0.866844,36051205,264.05,11,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,32,4,30,1,True,1,43,9.951798,1.140999,,,0.867981,36051205,292.05,12,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,32,4,30,1,True,2,44,10.048898,1.150603,,,0.875892,36051205,290.90,12,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,40,5,30,1,True,0,42,10.336320,1.188777,,,0.902865,36315397,315.85,15,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,40,5,30,1,True,1,43,10.289980,1.169003,,,0.893549,36315397,293.16,14,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,40,5,30,1,True,2,44,10.228077,1.174351,,,0.892689,36315397,334.56,16,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,48,6,30,1,True,0,42,10.321195,1.190183,,,0.902691,36579589,288.82,16,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,48,6,30,1,True,1,43,10.712146,1.230932,,,0.935303,36579589,371.67,21,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,48,6,30,1,True,2,44,10.191118,1.176142,,,0.891664,36579589,235.50,13,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,56,7,30,1,True,0,42,10.477809,1.213993,,,0.918485,36843781,211.77,14,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,56,7,30,1,True,1,43,10.282634,1.206793,,,0.906997,36843781,197.59,13,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Quarterly,4,8,56,7,30,1,True,2,44,10.251801,1.198647,,,0.902627,36843781,194.04,13,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,36,2,30,1,True,0,42,23.322086,3.249700,,,2.336830,25036800,2021.53,14,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,36,2,30,1,True,1,43,12.948051,0.921411,,,0.882145,25036800,2606.10,18,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,36,2,30,1,True,2,44,12.797755,0.921257,,,0.876864,25036800,2352.29,16,False,False,ReLU,
