experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason
ablation,Generic_SELU,['Generic'],Monthly,12,18,90,30,1,True,3,45,13.682628,0.969450,571.982727,1821541.875000,0.930199,26695680,1790.16,12,False,False,SELU,
ablation,Generic_SELU,['Generic'],Monthly,12,18,90,30,1,True,4,46,13.290209,0.965545,561.141602,1834648.500000,0.914762,26695680,2863.02,14,False,False,SELU,
ablation,Generic_baseline,['Generic'],Weekly,1,13,65,30,1,True,0,42,6.512176,2.089946,262.073181,242256.656250,0.731725,25850880,202.43,15,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Weekly,1,13,65,30,1,True,1,43,6.735209,2.069507,272.219666,258164.453125,0.740218,25850880,176.09,13,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Weekly,1,13,65,30,1,True,2,44,6.823476,2.114469,275.840515,272297.593750,0.753131,25850880,146.04,11,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Weekly,1,13,65,30,1,True,3,45,7.327586,2.171231,291.004242,294736.093750,0.790865,25850880,206.64,15,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Weekly,1,13,65,30,1,True,4,46,6.762018,2.169173,277.433105,274619.500000,0.759626,25850880,165.39,12,False,False,ReLU,
ablation,Generic_activeG,['Generic'],Weekly,1,13,65,30,1,True,0,42,7.117715,2.206092,288.948120,319255.250000,0.785687,25850880,309.98,22,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Weekly,1,13,65,30,1,True,1,43,6.529531,2.203341,265.992889,244728.234375,0.753089,25850880,229.69,16,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Weekly,1,13,65,30,1,True,2,44,6.594509,2.072387,267.047760,258980.343750,0.733057,25850880,182.74,13,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Weekly,1,13,65,30,1,True,3,45,6.543378,2.054818,264.391785,252254.234375,0.727103,25850880,226.92,16,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Weekly,1,13,65,30,1,True,4,46,7.278670,2.341444,299.259216,330710.187500,0.818842,25850880,270.82,19,True,False,ReLU,
ablation,Generic_sumLosses,['Generic'],Weekly,1,13,65,30,1,True,0,42,7.274973,2.239254,294.860474,307694.437500,0.800241,25850880,224.20,16,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Weekly,1,13,65,30,1,True,1,43,6.343682,1.984640,262.327026,260991.531250,0.703568,25850880,294.10,21,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Weekly,1,13,65,30,1,True,2,44,6.763270,2.264346,280.952911,286035.781250,0.776830,25850880,181.21,13,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Weekly,1,13,65,30,1,True,3,45,6.950770,2.193727,281.890564,299593.437500,0.774349,25850880,165.72,12,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Weekly,1,13,65,30,1,True,4,46,6.624543,2.130271,271.989471,262497.218750,0.745118,25850880,222.41,16,False,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Weekly,1,13,65,30,1,True,0,42,6.685202,2.182695,271.164307,256193.906250,0.757868,25850880,254.31,18,True,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Weekly,1,13,65,30,1,True,1,43,6.967147,2.289047,288.438507,299794.281250,0.792405,25850880,430.60,30,True,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Weekly,1,13,65,30,1,True,2,44,6.738004,2.140250,272.307037,268148.937500,0.753108,25850880,205.16,14,True,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Weekly,1,13,65,30,1,True,3,45,7.239300,2.507783,295.055389,292370.531250,0.846642,25850880,212.05,15,True,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Weekly,1,13,65,30,1,True,4,46,6.921646,2.266894,282.516846,289212.531250,0.785933,25850880,188.21,13,True,True,ReLU,
ablation,Generic_GELU,['Generic'],Weekly,1,13,65,30,1,True,0,42,6.666152,2.105402,274.253204,266077.906250,0.742912,25850880,215.87,16,False,False,GELU,
ablation,Generic_GELU,['Generic'],Weekly,1,13,65,30,1,True,1,43,7.280066,2.139631,288.078033,287559.187500,0.782582,25850880,308.69,23,False,False,GELU,
ablation,Generic_GELU,['Generic'],Weekly,1,13,65,30,1,True,2,44,7.802974,2.371947,311.985077,323201.187500,0.852950,25850880,227.90,17,False,False,GELU,
ablation,Generic_GELU,['Generic'],Weekly,1,13,65,30,1,True,3,45,7.426267,2.158454,296.716370,305883.531250,0.793950,25850880,308.77,23,False,False,GELU,
ablation,Generic_GELU,['Generic'],Weekly,1,13,65,30,1,True,4,46,7.364872,2.064336,292.870178,300897.593750,0.773653,25850880,201.90,15,False,False,GELU,
ablation,Generic_ELU,['Generic'],Weekly,1,13,65,30,1,True,0,42,6.262130,2.009174,255.581955,247115.750000,0.703535,25850880,193.51,14,False,False,ELU,
ablation,Generic_ELU,['Generic'],Weekly,1,13,65,30,1,True,1,43,6.772944,2.124342,275.193359,267158.312500,0.752151,25850880,177.13,13,False,False,ELU,
ablation,Generic_ELU,['Generic'],Weekly,1,13,65,30,1,True,2,44,6.799702,2.278146,279.320831,268774.781250,0.781304,25850880,162.16,12,False,False,ELU,
ablation,Generic_ELU,['Generic'],Weekly,1,13,65,30,1,True,3,45,6.746516,2.120150,271.480164,264790.187500,0.749953,25850880,221.75,16,False,False,ELU,
ablation,Generic_ELU,['Generic'],Weekly,1,13,65,30,1,True,4,46,6.987926,2.107334,283.308289,281012.312500,0.760822,25850880,207.98,15,False,False,ELU,
ablation,Generic_LeakyReLU,['Generic'],Weekly,1,13,65,30,1,True,0,42,7.105228,2.343647,290.234100,283374.437500,0.809772,25850880,176.26,13,False,False,LeakyReLU,
ablation,Generic_LeakyReLU,['Generic'],Weekly,1,13,65,30,1,True,1,43,6.832772,2.096739,274.250183,267206.125000,0.750446,25850880,178.95,13,False,False,LeakyReLU,
ablation,Generic_LeakyReLU,['Generic'],Weekly,1,13,65,30,1,True,2,44,6.949698,2.114045,279.600220,281662.312500,0.759944,25850880,178.00,13,False,False,LeakyReLU,
ablation,Generic_LeakyReLU,['Generic'],Weekly,1,13,65,30,1,True,3,45,7.167830,2.397279,293.498260,301261.906250,0.822845,25850880,203.95,15,False,False,LeakyReLU,
ablation,Generic_LeakyReLU,['Generic'],Weekly,1,13,65,30,1,True,4,46,6.858790,2.042223,277.817322,279347.968750,0.742050,25850880,192.57,14,False,False,LeakyReLU,
ablation,Generic_SELU,['Generic'],Weekly,1,13,65,30,1,True,0,42,6.794556,2.101359,278.726013,296377.906250,0.749192,25850880,270.74,20,False,False,SELU,
ablation,Generic_SELU,['Generic'],Weekly,1,13,65,30,1,True,1,43,7.662632,2.207729,302.903839,328437.656250,0.815723,25850880,371.42,27,False,False,SELU,
ablation,Generic_SELU,['Generic'],Weekly,1,13,65,30,1,True,2,44,7.467029,2.176863,296.785797,311278.656250,0.799489,25850880,428.13,31,False,False,SELU,
ablation,Generic_SELU,['Generic'],Weekly,1,13,65,30,1,True,3,45,7.360880,2.207278,297.982849,314418.156250,0.799172,25850880,304.48,22,False,False,SELU,
ablation,Generic_SELU,['Generic'],Weekly,1,13,65,30,1,True,4,46,21.858728,14.447772,945.003235,11522779.000000,3.794359,25850880,164.48,12,False,False,SELU,
ablation,Generic_baseline,['Generic'],Daily,1,14,70,30,1,True,0,42,2.642674,2.874414,157.019318,450108.937500,0.872377,26019840,14588.10,37,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Daily,1,14,70,30,1,True,1,43,200.000000,96349519515701408.000000,4728278781192568832.000000,inf,14696388096950272.000000,26019840,4493.23,11,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Daily,1,14,70,30,1,True,2,44,2.663839,2.911585,161.747406,517688.562500,0.881522,26019840,8422.34,34,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Daily,1,14,70,30,1,True,3,45,2.593698,2.835277,156.499023,443315.687500,0.858365,26019840,9913.90,51,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Daily,1,14,70,30,1,True,4,46,2.631469,2.848747,155.803146,417476.531250,0.866622,26019840,9784.19,41,False,False,ReLU,EARLY_STOPPED
